grid_id,total_rent
0_51,2.756537780020425
0_52,5.180922861676643
0_53,5.540563255762612
1_51,16.535700228488437
1_52,15.666019333935168
1_53,14.039199433988495
1_54,66.49567357428214
1_57,4.316409818816025
1_58,2.708513904321573
2_32,1.369975016452004
2_33,2.7489715162756725
2_34,6.162437782597662
2_35,56.2180829762103
2_36,9.243313956326919
2_50,6.058338982563297
2_51,72.64977883615185
2_52,81.39886427850723
2_53,19.77340852141621
2_54,48.15445474574463
2_55,38.29639851505838
2_56,29.732855122686697
2_57,16.738520541430002
2_58,7.680572542959991
3_24,1.1196491954972199
3_29,1.1520675208130011
3_30,1.927357791815487
3_31,3.060610523201168
3_32,8.28983073609774
3_33,10.233407933003953
3_34,26.156617104722038
3_35,137.3279895789929
3_36,9.2342535100757
3_47,2.6742385478540385
3_48,17.806412731303844
3_49,7.990565005564387
3_50,26.934061709725277
3_51,126.98107713701414
3_52,99.26493170953383
3_53,78.63947502830145
3_54,102.61678238749468
3_55,92.71778710234457
3_56,39.78140546939544
3_57,17.78176727776074
3_58,15.056321900771257
4_20,1.2533816867311582
4_21,5.985869830392855
4_22,38.722562579206105
4_23,50.59309606460814
4_24,55.59446424584877
4_25,20.206588169637964
4_26,39.25939080154116
4_27,1.1839143913413854
4_28,18.573445652772847
4_29,57.86698154146383
4_30,38.39345912606075
4_31,38.8054998403404
4_32,26.00983809938158
4_33,44.15296395576182
4_34,48.29848887468658
4_35,40.307911180536195
4_36,19.05980786608972
4_37,4.178540402224141
4_45,13.589435368215959
4_46,29.276981023212834
4_47,56.38473614686323
4_48,147.72219641544282
4_49,355.5086147009424
4_50,147.47611299521944
4_51,96.43846239414533
4_52,223.6729818263447
4_53,72.96962277563776
4_54,129.5387355486692
4_55,134.660545903545
4_56,42.48728303397982
4_57,23.385157298010263
4_58,21.917194997461223
5_18,5.4477845682375055
5_20,22.09960741940629
5_21,35.26327802631426
5_22,109.41550791752283
5_23,121.57509398495102
5_24,97.50397458608361
5_25,74.52157863001226
5_26,166.6443793804665
5_27,185.97370746209515
5_28,175.4556608316967
5_29,155.0544944495055
5_30,81.06246911956102
5_31,31.99059067735288
5_32,83.88712195589524
5_33,104.23893211727227
5_34,79.20867886704802
5_35,33.41517548554296
5_36,29.083451416411343
