grid_id,connectivity
0_52,1.5714285714285714
0_53,3.0
100_10,1.5454545454545454
100_11,1.8
100_12,1.358974358974359
100_13,1.5342465753424657
100_14,1.4631578947368422
100_15,1.6415094339622642
100_16,1.4234234234234233
100_17,1.5614035087719298
100_18,1.2083333333333333
100_19,1.4285714285714286
100_20,1.6136363636363635
100_21,1.6
100_22,2.0
100_23,1.6428571428571428
100_6,2.0
100_7,1.6486486486486487
100_8,1.4246575342465753
100_9,1.3777777777777778
101_10,1.35
101_11,1.5
101_12,2.0
101_13,1.578125
101_14,1.3846153846153846
101_15,1.5866666666666667
101_16,1.63013698630137
101_17,1.6551724137931034
101_18,1.3958333333333333
101_19,1.3461538461538463
101_20,1.393939393939394
101_21,1.4883720930232558
101_22,1.8571428571428572
101_23,1.3846153846153846
101_24,1.3333333333333333
101_25,0.0
101_8,1.6842105263157894
101_9,1.3181818181818181
102_10,1.4634146341463414
102_11,1.3137254901960784
102_12,1.3818181818181818
102_13,1.28125
102_14,1.4375
102_15,1.411764705882353
102_16,1.5084745762711864
102_17,1.3953488372093024
102_18,1.4736842105263157
102_19,1.5294117647058822
102_20,1.606060606060606
102_21,1.4814814814814814
102_22,1.8461538461538463
102_23,2.5
102_8,1.5
102_9,1.4222222222222223
103_10,1.3157894736842106
103_11,1.2131147540983607
103_12,1.42
103_13,1.2666666666666666
103_14,1.380952380952381
103_15,1.3333333333333333
103_16,1.5357142857142858
103_17,1.5227272727272727
103_18,1.4
103_19,1.275
103_20,1.380952380952381
103_21,1.125
103_22,1.7777777777777777
103_23,0.0
103_8,2.5
103_9,1.7222222222222223
104_10,1.8
104_11,1.68
104_12,1.368421052631579
104_13,1.1864406779661016
104_14,1.4375
104_15,1.2352941176470589
104_16,1.7272727272727273
104_17,1.4666666666666666
104_18,1.3658536585365855
104_19,1.6666666666666667
104_9,3.0
105_12,1.3870967741935485
105_13,2.6666666666666665
105_14,3.0
105_16,0.0
105_17,1.5833333333333333
105_18,1.2941176470588236
105_19,1.72
106_18,4.0
10_18,1.4705882352941178
10_19,1.4444444444444444
10_20,1.71875
10_21,1.6
10_22,1.2777777777777777
10_23,1.3243243243243243
10_24,1.5666666666666667
10_25,1.4814814814814814
10_26,1.4761904761904763
10_27,1.2439024390243902
10_28,1.4230769230769231
10_29,1.4
10_30,1.4444444444444444
10_31,1.4772727272727273
10_32,2.0
10_33,1.4193548387096775
10_34,1.4583333333333333
10_35,3.0
10_36,1.3513513513513513
10_37,1.6470588235294117
10_38,1.6585365853658536
10_39,1.59375
10_40,1.6666666666666667
10_41,1.4444444444444444
10_42,1.5
10_43,1.4166666666666667
10_44,1.5384615384615385
10_45,1.375
10_46,1.7142857142857142
10_47,3.0
10_48,2.4545454545454546
10_49,1.5
10_50,1.7777777777777777
10_51,1.8181818181818181
10_52,1.7413793103448276
10_53,1.775
10_54,1.5925925925925926
10_55,1.6470588235294117
10_56,1.5833333333333333
10_57,1.625
10_58,1.6129032258064515
10_59,1.606060606060606
10_60,1.2758620689655173
10_61,1.7727272727272727
10_62,1.8571428571428572
10_63,2.0
10_64,1.6666666666666667
11_20,1.9285714285714286
11_21,1.7333333333333334
11_22,1.368421052631579
11_23,1.4333333333333333
11_24,1.4411764705882353
11_25,1.7777777777777777
11_26,1.4324324324324325
11_27,1.2352941176470589
11_28,1.380952380952381
11_29,1.631578947368421
11_30,1.7941176470588236
11_31,1.6129032258064515
11_32,1.4
11_33,2.0
11_34,1.5609756097560976
11_35,1.5714285714285714
11_36,2.142857142857143
11_37,1.3428571428571427
11_38,1.5
11_39,1.4857142857142858
11_40,1.2727272727272727
11_41,1.5263157894736843
11_42,1.2692307692307692
11_43,1.7297297297297298
11_44,1.7142857142857142
11_45,1.3076923076923077
11_46,1.4705882352941178
11_47,1.6153846153846154
11_48,1.793103448275862
11_49,1.5151515151515151
11_50,1.6285714285714286
11_51,1.5098039215686274
11_52,1.7045454545454546
11_53,1.9148936170212767
11_54,1.7941176470588236
11_55,1.875
11_56,4.0
11_57,1.619047619047619
11_58,1.5517241379310345
11_59,1.826086956521739
11_60,1.9
11_61,1.5714285714285714
11_62,1.7241379310344827
11_63,1.7142857142857142
11_64,1.7741935483870968
12_19,0.0
12_20,0.0
12_21,1.4827586206896552
12_22,1.8333333333333333
12_23,1.9230769230769231
12_24,1.6511627906976745
12_25,1.4827586206896552
12_26,1.4285714285714286
12_27,1.3
12_28,1.6785714285714286
12_29,1.619047619047619
12_30,1.75
12_31,1.7391304347826086
12_32,1.5405405405405406
12_33,2.1666666666666665
12_34,1.5384615384615385
12_35,1.5185185185185186
12_36,1.9333333333333333
12_37,1.275
12_38,1.25
12_39,1.4285714285714286
12_40,1.4
12_41,1.3658536585365855
12_42,1.3421052631578947
12_43,1.5217391304347827
12_44,1.5862068965517242
12_45,1.631578947368421
12_46,1.8
12_47,1.95
12_48,1.7586206896551724
12_49,1.6363636363636365
12_50,1.4705882352941178
12_51,1.5483870967741935
12_52,1.6666666666666667
12_53,1.72
12_54,1.6551724137931034
12_55,1.4878048780487805
12_56,2.0526315789473686
12_57,1.6571428571428573
12_58,1.7567567567567568
12_59,2.130434782608696
12_60,1.7083333333333333
12_61,1.7272727272727273
12_62,1.7142857142857142
12_63,1.302325581395349
12_64,1.9
12_65,2.6666666666666665
13_20,0.0
13_21,2.2
13_22,1.625
13_23,1.5
13_24,1.5106382978723405
13_25,2.0
13_26,1.4615384615384615
13_27,1.5161290322580645
13_28,1.5454545454545454
13_29,1.6071428571428572
13_30,1.6428571428571428
13_31,1.4736842105263157
13_32,1.6111111111111112
13_33,2.0
13_34,1.6511627906976745
13_35,1.5789473684210527
13_36,1.5714285714285714
13_37,1.2333333333333334
13_38,1.5217391304347827
13_39,1.76
13_40,1.7586206896551724
13_41,1.5
13_42,1.375
13_43,1.4
13_44,1.4318181818181819
13_45,1.6097560975609757
13_46,1.826086956521739
13_47,1.7241379310344827
13_48,1.75
13_49,1.5128205128205128
13_50,1.8181818181818181
13_51,1.4482758620689655
13_52,1.5
13_53,1.5789473684210527
13_54,1.4193548387096775
13_55,3.0
13_56,1.6896551724137931
13_57,1.8064516129032258
13_58,2.125
13_59,1.6538461538461537
13_60,1.6666666666666667
13_61,2.5
13_62,1.8235294117647058
13_63,1.44
14_21,3.0
14_22,1.75
14_23,1.4444444444444444
14_24,1.5
14_25,1.5454545454545454
14_26,1.4545454545454546
14_27,1.5789473684210527
14_28,1.475
