grid_id,Bare / sparse vegetation,Closed forest,Cropland,Herbaceous vegetation,Herbaceous wetland,Open forest,Permanent water bodies,Shrubland,Urban / built up
0_51,0.0,0.0,97.7483973955738,0.0,0.0,0.0,0.0,0.0,2.2516026078662197
0_52,0.0,0.0,57.9936173214387,0.0,0.0,8.90175094762687,0.0,0.0,33.10463209038132
0_53,0.0,0.0,51.72484440639749,5.040611467056851,0.0,22.937651983535403,0.0,0.0,20.295616650976715
100_10,0.0,13.202182938164865,2.9801687013174107,21.930482134982302,0.0,44.166706661906616,0.0,0.0,17.72091334348747
100_11,0.0,0.0,0.8018448199965885,0.1482914637611341,0.0,60.16729337377454,0.0,0.0,38.88250222123465
100_12,0.0,0.0,0.0,11.058295821335365,0.0,16.50528025714028,0.0,0.0,72.43641569878464
100_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_15,0.0,0.0,0.0,0.0,0.0,5.9571534113837,0.0,0.0,94.04284658861629
100_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
100_17,0.0,0.0,15.495804479042189,5.95596069674005,0.0,5.407315592114317,0.0,0.0,73.1411047507059
100_18,0.0,0.0,5.228924549183636,0.0,0.0,41.995579069661304,0.0,0.0,52.77545923934284
100_19,0.0,0.0,5.086202832085203,0.0,0.0,25.376870401940206,0.0,0.0,69.53685340291997
100_20,0.0,0.0,0.0,0.0,0.0,28.942608554202415,0.0,0.0,71.05742820611619
100_21,0.0,0.0,6.7209491090053834,2.494348847595384,0.0,28.90782033234229,0.0,0.0,61.87705687961316
100_22,0.0,2.2326372106594867,6.931677905185108,5.120751033727544,0.0,70.49291583734947,5.9527748765855835,0.0,9.269175580401308
100_23,0.0,0.4418300077218594,11.07373780823033,0.8318903965502891,0.0,40.05557454671103,0.0,0.0,47.596998709260944
100_24,0.0,0.0,68.26190332528469,0.0,0.0,8.299302234817777,0.0,0.0,23.43908559820229
100_25,0.0,6.105494058203532,12.818804920195232,0.0,0.0,40.8177194488006,0.0,0.0,40.25777094938787
100_6,0.0,0.0,5.962724069444231,6.506521013174552,0.0,0.0,0.0,0.0,87.5307549132574
100_7,0.0,0.0,0.0,9.957923578558418,0.0,0.0,0.0,0.0,90.04207642144158
100_8,0.0,0.0,0.0,0.0,0.0,3.314534196992051,0.0,0.0,96.68546580300794
100_9,0.0,0.0,0.0,0.0,0.0,1.3329815745491325,0.0,0.0,98.66701842545086
101_10,0.0,2.322184758688714,0.0,5.960143843004295,0.0,11.2261703833979,0.0,0.0,80.49168920284106
101_11,0.0,0.0,13.027703995670134,7.974120391614049,0.0,35.79139490435533,0.0,0.0,43.20680775967559
101_12,0.0,0.0,0.17685522746292273,17.43702095849458,0.0,63.997395803380044,0.0,0.0,18.388998871036492
101_13,0.0,0.0,0.0,9.719956235798625,0.0,4.447000565217405,0.0,0.0,85.83295301235626
101_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
101_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
101_16,0.0,0.0,0.0,0.0,0.0,5.521526458304441,0.0,0.0,94.47863956543078
101_17,0.0,0.0,38.26574206827864,0.0,0.0,30.686108688382756,0.0,0.0,31.04705683809781
101_18,0.0,0.0,0.0,2.9777187412788337,0.0,6.203945603273205,0.0,0.0,90.81833770706072
101_19,0.0,0.0,0.0,0.0,0.0,5.687231668109261,0.0,0.0,94.31275410498759
101_20,0.0,0.0,0.0,5.954242031841051,0.0,16.878017340919584,0.0,0.0,77.16770269281815
101_21,0.0,0.0,1.9109986977484106,0.4823056604464946,0.0,0.8658343599230178,0.0,0.0,96.74087018536966
101_22,0.0,7.552061715617589,42.94661213168841,0.0,0.0,8.401480255966897,0.0,0.0,41.099874350768395
101_23,0.0,4.654956745286352,11.928327142926568,0.0,0.0,47.47407095457059,0.0,0.0,35.942598064883356
101_24,0.0,0.0,3.8349626162252664,0.0,0.0,50.58648952536386,0.0,0.0,45.57858269218377
101_25,0.0,23.65071974755245,40.810626673387276,5.950922128328743,0.0,19.56034008773414,0.0,0.0,10.027073887832138
101_6,0.0,0.0,19.659615502231954,39.594424935980385,0.0,12.722365257662927,0.0,0.0,28.02363072016044
101_7,0.0,1.1985795201908118,24.661335994911113,19.243617298660933,0.0,4.036718537527665,0.0,0.0,50.85930360595123
101_8,0.0,7.734401253429549,9.858070767706877,9.535067666356587,0.0,2.6467347877832195,0.0,0.0,70.22591130573595
101_9,0.0,0.0,0.0,1.0205036243200394,0.0,1.649926827678782,0.0,0.0,97.32956932150675
102_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
102_11,0.0,0.0,3.711221327191675,6.74357637154203,0.0,3.9083568044143884,0.0,0.0,85.63685028020922
102_12,0.0,0.0,0.160556759415659,6.33757920149935,0.0,14.38407723686066,0.0,0.0,79.11800470474824
102_13,0.0,0.0,0.0,18.819960914375407,0.5435575027745368,20.184619861121213,5.958493819266435,0.0,54.49303681889941
102_14,0.0,0.0,6.105219449001816,5.957697849167669,0.0,19.766407154768107,0.0,0.0,68.17076667933776
