grid_id,Arable land,"Artificial, non-agricultural vegetated areas",Forests,Heterogeneous agricultural areas,"Industrial, commercial and transport units",Inland waters,"Mine, dump and construction sites",Pastures,Scrub and/or herbaceous vegetation associations,Urban fabric
102_19,0.0,60.16097515206739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.83902484793261
102_20,0.0,11.025190543025094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.97480945697491
102_21,13.603941628756418,0.0,0.0,0.0,11.386142171344694,0.0,0.0,0.0,0.0,75.00991619989888
102_22,0.3439923944290609,0.0,0.0,0.0,13.426642695758684,0.0,0.0,67.84943266994028,0.0,18.379932239871955
102_23,25.812207326637633,0.0,0.0,0.0,0.0,0.0,0.0,74.18779267336237,0.0,0.0
102_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
102_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.65825350096826,0.0,14.341746499031736
102_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393836251719041,0.0,95.60616374828095
103_10,0.0,0.0,0.0,0.0,31.304846034482125,0.0,0.0,3.270724497291691,0.0,65.42442946822618
103_11,0.0,0.0,0.0,0.0,2.6790036629797953,0.0,0.0,0.0,0.0,97.3209963370202
103_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
103_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.345406407655844,0.0,61.654593592344156
103_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.81505425759146,0.0,40.18494574240854
103_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.227278947999004,0.0,74.772721052001
103_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
103_17,0.0,22.34090508495803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65909491504198
103_18,0.0,17.768924837025228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.23107516297478
103_19,0.0,0.4115690117710919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.58843098822891
103_20,6.335820119788198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.6641798802118
103_21,64.27030771637595,0.0,0.0,0.0,0.0,0.0,0.0,23.270216055988065,0.0,12.459476227635989
103_22,13.207514943468995,0.0,0.0,0.0,0.0,0.0,0.0,86.79248505653099,0.0,0.0
103_23,77.97062384361655,0.0,0.0,0.0,0.0,0.0,0.0,22.029376156383453,0.0,0.0
103_8,0.0,0.0,3.3654546779758236,0.0,0.0,0.0,0.0,96.63454532202417,0.0,0.0
103_9,0.0,0.0,0.0,0.0,2.7060577475842575,0.0,0.0,85.54200659034166,0.0,11.751935662074088
104_10,0.0,0.0,4.20189560445755,0.0,95.79810439554247,0.0,0.0,0.0,0.0,0.0
104_11,0.0,0.0,0.0,0.0,80.6953888271012,0.0,0.0,0.0,0.0,19.3046111728988
104_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
104_13,3.33178205175418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.66821794824581
104_14,46.409063415722564,1.0129762522498351,0.0,0.0,0.0,0.0,0.0,27.60423184152387,0.0,24.973728490503746
104_15,17.876871158922032,0.0,0.0,0.0,0.0,0.0,0.0,41.510283740546,0.0,40.612845100531956
104_16,2.961034632959227,0.0,0.0,0.0,0.0,0.0,0.0,21.235777133336065,0.0,75.80318823370472
104_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
104_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
104_19,0.0,0.0,0.0,0.0,37.551195263338414,0.0,0.0,0.0,0.0,62.448804736661586
104_20,22.942453771628838,0.0,0.0,0.0,69.1311274878374,0.0,0.0,0.0,0.0,7.926418740533755
104_22,3.517658847099217,0.0,0.0,0.0,0.0,0.0,0.0,96.48234115290077,0.0,0.0
104_9,0.0,0.0,36.38606062995003,0.0,18.22545279369584,0.0,0.0,45.38848657635414,0.0,0.0
105_10,0.0,0.0,34.83014344120683,0.0,14.538299563934926,0.0,0.0,44.38968278708923,0.0,6.241874207769021
105_11,10.452629223244713,0.0,0.0,0.0,71.5317391712584,0.0,0.0,0.0,0.0,18.01563160549689
105_12,57.93304648644422,0.0,0.0,0.0,1.660878051116515,0.0,0.0,0.0,0.0,40.406075462439276
105_13,69.94882275086816,23.186392246580525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.864785002551327
105_14,13.52758586677711,86.47241413322288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105_16,99.43241664884792,0.0,0.0,0.0,0.0,0.0,0.0,0.39919558830925717,0.0,0.1683877628428214
105_17,81.18460794116888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.815392058831126
105_18,4.950278809986168,0.0,0.0,0.0,58.37317807084504,0.0,0.0,0.0,0.0,36.676543119168784
105_19,0.0,0.0,0.0,0.0,98.55319825261233,0.0,0.0,0.0,0.0,1.4468017473876664
105_20,1.6489814379443066,0.0,0.0,0.0,98.35101856205569,0.0,0.0,0.0,0.0,0.0
106_18,79.4152378530478,0.0,0.0,0.0,20.5847621469522,0.0,0.0,0.0,0.0,0.0
106_19,34.546588961766325,0.0,0.0,0.0,65.45341103823368,0.0,0.0,0.0,0.0,0.0
10_18,52.2419358354403,0.0,0.0,0.0,0.0,0.0,0.0,12.297203378303928,0.0,35.46086078625577
10_19,8.089913517267156,0.0,0.0,0.0,0.0,0.0,0.0,42.29949179786902,0.0,49.61059468486383
10_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.088262477355473,0.0,85.91173752264453
10_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10_24,0.0,0.0,0.0,0.0,1.0772923342544478,0.0,0.0,0.0,0.0,98.92270766574556
10_25,0.0,0.0,0.0,0.0,6.901399993439321,0.0,0.0,0.0,0.0,93.09860000656067
10_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
