grid_id,"Low-growing woody plants (bushes, shrubs)",Non- and sparsely-vegetated,Periodically herbaceous,Permanent herbaceous,Sealed,Water,Woody – Broadleaved deciduous trees,Woody – needle leaved trees
0_51,0.0,0.0,0.0,2.731693660592545,0.6550118887192041,0.0,0.0,0.0
0_52,0.0,0.0,0.0,6.231417621744975,13.723885470081324,0.0,2.36797815315,4.464440939006154
0_53,0.0,0.0,5.396024074322072,8.128054889712127,9.913770436218586,0.0,2.3637020849252135,8.782587040952558
100_10,0.0,0.19985817565349942,0.0,42.50088746882351,16.31982270513745,0.0,40.81131594875898,0.16811568168352192
100_11,0.0,0.0,0.0,29.639747228626614,43.519188602725215,0.0,26.658265469945288,0.18279881137337814
100_12,0.0,0.0,0.0,29.422912649498503,59.209711588005334,0.0,10.887716089068487,0.47965972792606826
100_13,0.0,0.0,0.0,4.243989643138703,94.47245430893695,0.0,1.2835560509657802,0.0
100_14,0.039971645515162,0.0,0.0,9.099810749463046,79.87821584859141,0.0,10.072022591461819,0.9099792356095984
100_15,0.0,0.0,0.0,19.17979648966958,70.23422520357595,0.0,9.6267490109365,0.9592294241345724
100_16,0.0,0.0,0.0,7.550644942593406,86.92356596039549,0.0,4.64632267867002,0.8794664312082416
100_17,0.0,0.35974488767652113,0.5196316155100066,20.293386998552432,75.66530215961784,0.0,2.922104485280859,0.23982989401414778
100_18,0.0,0.0,0.0,37.694316723120984,51.68349574317505,0.0,10.46206438304408,0.16012279268077323
100_19,0.0,0.0,0.0,28.825647056305847,62.67957530309185,0.0,8.254947746251451,0.23982990677759708
100_20,0.0,0.1998582893632979,0.27980162376685386,27.889776026785295,60.961205224620706,0.0,10.429529029580864,0.23982983134204425
100_21,0.6548493359814923,0.0,0.0,39.14697729502224,53.4522400196873,0.0,6.665989985592861,0.07994327694333492
100_22,1.4236768369009727,0.0,0.0,43.03276288318608,12.203739173420193,12.15138469415952,30.29897145141517,0.8894709007825321
100_23,0.0,0.0,0.11976830492519802,38.80623956425056,34.46831286892313,0.6375940783900164,25.766120716327816,0.2019644194310196
100_24,0.0,0.0,22.83351476456064,45.55271105434097,12.560583308035907,0.7833569375586517,17.17516202522841,0.0
100_25,0.0,0.0,0.0,4.369238759173043,1.574984902605827,0.10699311080508739,8.258221721256596,0.0
100_6,0.0,0.0,0.0,0.17892967713447763,2.833680767458637,0.0,0.2881412659813808,0.0
100_7,0.0,0.0,0.0,14.579724920349117,74.74833712090071,0.0,3.0047594429908484,0.0
100_8,0.0,0.0,0.0,8.506194386914315,87.69523270178404,0.0,3.4206961559753752,0.37787671132077316
100_9,0.0,0.0,0.0,15.610483702936808,80.08405861187876,0.0,3.8483883184254273,0.45706939298497284
101_10,0.0,0.03997166591135852,0.0,24.828854286282535,59.91585142576745,0.0,15.055435897171492,0.1598867197644325
101_11,0.0,0.0,0.0,46.48222099668943,40.15027411937992,0.0,13.367504674809906,0.0
101_12,0.0,0.03997167247124852,0.35974506525472066,49.416672091836574,20.76853232102747,0.0,28.370719745274904,1.044359913102596
101_13,0.0,0.0,0.0,13.242090641377526,72.49926889318556,0.0,13.645256414262782,0.6133840321074584
101_14,0.0,0.0,0.0,8.873241055519443,90.11946589500403,0.0,0.8780092359651989,0.12928374493639322
101_15,0.0,0.0,0.0,7.35979507016965,91.63303465111417,0.0,1.0071702156931401,0.0
101_16,0.0,0.0,0.0,17.27689588557385,77.3203963529854,0.0,5.362736114478869,0.03997167947030385
101_17,0.0,0.0,0.0,56.17938804354762,27.798384502776294,0.0,15.742425681422928,0.2798017589815643
101_18,0.0,0.0,0.039971694821252214,21.380937543752015,69.01501316577568,0.0,9.29426173740621,0.2698160912547379
101_19,0.0,0.6395467851216411,0.07994338531084827,22.433214900999854,72.93674728051917,0.0,3.2612512292032116,0.64929641751125
101_20,0.0,0.16682986534137695,0.0,20.091580989076633,73.66787034130954,0.0,5.99377548438451,0.0799433823124909
101_21,0.0,1.6349749247332959,0.1598867781458061,6.637890549917533,90.56009388948284,0.0,0.7673237866879196,0.23983008362703434
101_22,0.19985836914930838,0.03997169603724213,0.0,20.224962865031284,37.0198994994704,0.1598867383168835,41.97735424850729,0.3780666517764081
101_23,0.0,0.0,0.0,62.94001459272271,15.65380031756641,7.156883284623239,13.170052200845163,0.23983014085603985
101_24,0.0,0.0,0.0,9.527625782412011,30.544723864367747,0.0,20.019648227582564,0.35974514529881463
101_25,0.0,0.0,0.0,1.6647082318684603,1.1591784466526558,0.5725252278836769,3.316297767056409,0.0
101_6,0.0,0.0,0.0,8.51396717476075,13.441558975369652,0.0,7.985995432525596,0.0
101_7,0.0,0.0,0.0,7.289619279962652,34.009075430748595,0.0,1.3163605896665906,0.0
101_8,0.0,0.07994338034763984,0.0,12.694982914729252,60.45499607994514,0.0,21.556314968056675,0.0
101_9,0.0,0.0,0.0,15.891956191929612,80.23629701168232,0.0,3.7118599842418387,0.1598867267698791
102_10,0.0,0.0,0.0,20.56723391606246,77.25360317784123,0.0,2.1391912306782563,0.03997171412675767
102_11,0.0,0.0,0.0,23.254777628254793,69.67605693904176,0.0,6.869306819805555,0.1998585402220117
102_12,0.0,0.0,0.0,15.120854792636049,77.97080120645902,0.0,5.636969057642593,1.2713748880685043
102_13,0.0,0.0,0.0,19.72588812183847,52.39411205579028,6.635251319701833,20.758697810180195,0.4860508634926166
102_14,0.0,0.0,0.0,38.82184548472678,48.556386017944206,0.0,11.901834093020794,0.7199344899580568
102_15,0.0,0.0,0.0,18.405448006831136,76.79506501461607,0.0,4.519684881074382,0.27980210513051207
