grid_id,below_14,above_65
0_52,13.806764485674309,39.55158884853755
0_53,19.35458475357463,42.60695640200082
100_10,162.76217803487,53.08406844955515
100_11,268.14971438317144,95.12630907550424
100_12,338.93201495311087,78.48898239855397
100_13,390.06941327040954,163.821577745154
100_14,338.1789483173619,284.2389149645649
100_15,295.106576779262,243.4941335322786
100_16,404.3662849037981,274.332933063496
100_17,292.5240759866808,223.82506470794098
100_18,182.50765534873116,271.3218897713415
100_19,253.49779737211728,119.22297848915272
100_20,503.8990477593267,115.23914713831884
100_21,406.15738783308706,93.48281055486095
100_22,121.97274996699169,71.67067218008722
100_23,83.38146296194607,38.58341659637161
100_6,3.6149050850660718,2.4279985934488026
100_7,68.67899857343461,62.008595263603574
100_8,245.11548834421995,258.51424020555714
100_9,399.80552965202617,164.43545174763835
101_10,399.5114868216092,219.96900554691467
101_11,87.64631427737203,138.85652235349468
101_12,124.43466366953882,53.16475346879275
101_13,224.98531216348275,174.31710769197272
101_14,334.46945709674867,248.13032055537778
101_15,397.80441868463146,265.6967665342316
101_16,361.15717897597284,224.0556134950753
101_17,115.42554521581852,131.29041510085506
101_18,349.8179799350787,319.4696864122184
101_19,503.12893718596126,174.1758794703524
101_20,433.00246645206494,143.14906935666608
101_21,332.1072913757109,99.6262037128303
101_22,69.45774483489012,21.83316206267671
101_23,38.74855438658633,43.630127310659084
101_24,39.582461334586554,39.297521804172206
101_25,5.607566086471888,4.653293954904848
101_8,183.75225215789078,97.28335230572078
101_9,339.6468206394302,224.15041895001914
102_10,336.94821085852715,257.69330100700955
102_11,180.12938779965847,342.79660941595
102_12,169.72126302885414,256.20375971746984
102_13,130.00356039389274,269.36301919848734
102_14,282.7400775427552,188.87505665289098
102_15,289.7842920033405,178.42224548341267
102_16,260.86769408846317,152.6826268945228
102_17,117.89284214090763,149.1612195649665
102_18,306.46111627056547,170.4371092073759
102_19,197.2615351937211,130.72991310703148
102_20,238.37330906531466,221.19783991285183
102_21,141.85132434252117,162.3849003947641
102_22,42.51304174151909,24.082475029104963
102_23,19.834641862011104,20.06894919286107
102_8,90.79772682220681,20.68324302221802
102_9,342.77454672845073,135.62247778945624
103_10,150.78892046912492,148.8107951795758
103_11,250.32895025524562,268.0813332836243
103_12,150.48022804119003,258.9317514721702
103_13,155.33119575777582,207.5839045718506
103_14,100.54061205146068,121.76413522676457
103_15,135.75673037777517,131.51698347508164
103_16,135.0559826208875,105.04725153493266
103_17,131.74530870175698,118.04564334316731
103_18,225.23126915559595,194.02842727437863
103_19,248.08222061573267,260.09985410869643
103_20,185.2164338307648,209.53162890875478
103_21,44.15082611617065,36.69978119828228
103_22,28.726327813783303,16.510059154638096
103_23,6.850907346833228,4.84800441415567
103_8,25.04840869563798,7.251531218819059
103_9,110.21624839728919,63.22905603252121
104_10,33.66855842854007,27.050494756151426
104_11,62.117250904351835,49.65150734188549
104_12,135.7342122987224,142.14114699766884
104_13,233.81244776419595,190.48196887732897
104_14,50.057112231238364,89.20407188266532
104_15,103.97317436038989,96.91909176188415
104_16,123.47428051310264,112.16936388627974
104_17,154.38940179075848,185.21059164574194
104_18,267.7383945754637,288.2818282333628
104_19,106.40852262448567,102.05790890457098
104_9,10.650299887151693,18.510396974059237
105_12,101.97862606899918,53.58120840483407
105_13,22.57803166627968,20.700888287937737
105_14,0.32041214811756136,0.6112477269664643
105_16,22.381811999340908,11.97990954418075
105_17,35.85778047422816,19.499566259560666
105_18,52.215787879390994,100.66317900501313
105_19,28.213934577758685,34.95921733030125
106_18,10.260416865607642,6.424070725595364
10_18,50.286744492629495,77.69678562830458
10_19,40.61003482021771,96.27666359534436
10_20,88.54712807291979,210.01424659867797
10_21,105.35841374741238,215.87112400640214
10_22,170.11207399089903,239.1177488810838
10_23,233.0089805903183,174.7986068230987
10_24,168.39064439567247,197.82428399521214
10_25,109.66105460330016,199.95577400915565
10_26,143.45349554684253,271.9370257175854
10_27,151.75644162773185,212.10899511297308
10_28,140.60705200855128,84.92960793500136
10_29,217.2909860951691,114.28974070836857
10_30,222.37005174198268,124.12737091450735
10_31,294.7905653639808,217.2899280264418
10_32,186.52676774674623,98.83377604226746
10_33,231.3028227450497,161.0253051829513
10_34,110.33749331780137,138.39850743163254
10_35,35.22486800540173,53.34451777036088
10_36,45.0264752194194,61.732935700032115
10_37,110.24247289273865,244.4114666292465
10_38,227.8594774365253,256.11112801039843
10_39,305.1728067884012,173.01129924183329
10_40,60.74846221608536,99.40261154736507
10_41,34.396814039122745,130.4309429806096
10_42,116.43919931810427,279.9551327138936
10_43,153.67879078923448,294.2819399820779
10_44,120.20332551541077,177.47778173181268
10_45,100.31810909843082,282.5958983367379
10_46,33.2487258563556,154.29315002466998
10_47,23.081818924820695,36.990197054360024
10_48,209.40934075692164,223.34952469391845
10_49,428.7248972842973,271.13276011454315
10_50,281.62191107735345,130.33550774163442
10_51,67.61973734464212,90.78724648962807
10_52,96.91001300935727,33.463566996249234
10_53,75.23921042955995,14.206903151444585
10_54,211.61494374471053,78.32430802476088
10_55,310.9080717302726,101.15696676408763
10_56,116.48998293582389,31.358275321844133
10_57,117.10642501484482,83.03153214255701
10_58,160.67556952924033,96.2391654939372
10_59,230.26936772631944,98.82830847545516
10_60,233.10905217764488,147.30494766929417
10_61,225.48292628236058,172.72381101325294
10_62,173.21137046541935,161.3176883407732
10_63,20.18305192952262,21.447560396679453
