OA11CD,LSOA11CD
E00046369,E01009138
E00048074,E01009496
E00047897,E01009468
E00047816,E01009453
E00047365,E01009327
E00046017,E01009073
E00046096,E01009084
E00046198,E01009108
E00046119,E01009090
E00047961,E01009463
E00045845,E01009044
E00046670,E01009203
E00048122,E01009505
E00046922,E01009251
E00047979,E01009465
E00046015,E01009077
E00046094,E01009083
E00047192,E01009307
E00047113,E01009288
E00045198,E01033638
E00045085,E01008889
E00045119,E01008882
E00175656,E01033624
E00048128,E01009506
E00045272,E01008930
E00047267,E01009314
E00047376,E01009352
E00045517,E01008978
E00046721,E01009216
E00047660,E01009403
E00045227,E01033636
E00046678,E01009217
E00047356,E01033642
E00045866,E01009031
E00045791,E01009025
E00045710,E01008999
E00046422,E01009153
E00048124,E01009494
E00047634,E01009414
E00047049,E01009273
E00046052,E01009095
E00175753,E01033633
E00045648,E01033631
E00175781,E01033631
E00045260,E01008924
E00045635,E01008996
E00047228,E01009319
E00046719,E01009217
E00046798,E01009221
E00045267,E01008929
E00046347,E01009140
E00175789,E01009056
E00047487,E01033650
E00045830,E01009039
E00046653,E01009199
E00046844,E01009248
E00045479,E01008950
E00047274,E01009312
E00047371,E01009328
E00045424,E01008954
E00047991,E01009480
E00046148,E01009098
E00047406,E01009350
E00047910,E01009470
E00045242,E01008907
E00046044,E01009066
E00046536,E01009186
E00047673,E01009407
E00045833,E01009041
E00047655,E01009403
E00047725,E01009425
E00047507,E01009376
E00047586,E01033641
E00047180,E01009307
E00047117,E01009289
E00047101,E01009282
E00045858,E01009030
E00048067,E01009495
E00045934,E01009061
E00047391,E01009347
E00047310,E01009337
E00047923,E01009474
E00045370,E01008948
E00175784,E01009083
E00046368,E01009141
E00175729,E01009358
E00047064,E01009284
E00047658,E01009403
E00046244,E01009120
E00047293,E01009327
E00047212,E01009309
E00047720,E01009423
E00047732,E01009429
E00045592,E01008986
E00045513,E01008978
E00045964,E01009050
E00046799,E01009222
E00046718,E01009215
E00045153,E01008890
E00047928,E01009466
E00045917,E01009059
E00046613,E01009195
E00045996,E01009073
E00045326,E01008934
E00045233,E01008899
E00047085,E01009282
E00047664,E01009406
E00047004,E01032591
E00045098,E01008895
E00047204,E01009308
E00046037,E01009064
E00046960,E01009259
E00047390,E01009347
E00046594,E01009189
E00046515,E01009155
E00045924,E01009060
E00047589,E01009390
E00045353,E01008947
E00045867,E01009032
E00045970,E01009064
E00048056,E01009477
E00046680,E01009211
E00046588,E01009188
E00046601,E01009177
E00045109,E01008896
E00047205,E01009306
E00045547,E01008969
E00046496,E01009173
E00046417,E01009152
E00045667,E01009013
E00046322,E01009130
E00046654,E01009200
E00046023,E01033562
E00045320,E01008927
E00046235,E01009120
E00045206,E01033638
E00047588,E01009389
E00045261,E01008927
E00045405,E01008939
E00048072,E01009493
E00048085,E01009498
E00045857,E01009046
E00048004,E01009481
E00046501,E01009158
E00048203,E01009512
E00046580,E01009176
E00047441,E01033635
E00045953,E01009050
E00045602,E01008988
E00046291,E01009124
E00045512,E01008980
E00046714,E01009212
E00046795,E01009233
E00046440,E01009164
E00175652,E01033620
E00046724,E01009217
E00045282,E01008921
E00175761,E01009194
