grid_id,IMD
0_52,7.553945127945464
0_53,7.482996830202518
100_10,34.37633048678664
100_11,37.460063065473825
100_12,31.70105395042536
100_13,20.564287882400656
100_14,15.186193438822322
100_15,17.102167714248523
100_16,18.983018831804333
100_17,21.321584317451254
100_18,23.924748578725783
100_19,41.27233706305337
100_20,65.18761232056083
100_21,55.60277871130158
100_22,39.168001255842164
100_23,32.668470899268684
100_6,12.897183725527285
100_7,24.403138496952067
100_8,43.85437943673152
100_9,54.638872782726
101_10,35.65556204956285
101_11,33.58261827297089
101_12,32.37285443737143
101_13,19.634383778026173
101_14,15.804257885639124
101_15,18.148126477706807
101_16,18.50900569783326
101_17,23.164627244680254
101_18,52.69630915179848
101_19,50.07404821178077
101_20,52.79694443635611
101_21,46.796667169066474
101_22,35.464
101_23,35.18030632412458
101_24,23.588025636132578
101_25,10.222428684680692
101_8,45.313046296634205
101_9,51.31260841442158
102_10,29.52755869173001
102_11,16.095904718465956
102_12,8.80731977892369
102_13,17.334684935029923
102_14,46.258856864283175
102_15,26.881987124339023
102_16,20.737039501089868
102_17,18.367324046362704
102_18,51.181172566796576
102_19,44.75957085571301
102_20,24.63096251573457
102_21,27.801508557457968
102_22,35.464
102_23,27.423934567795754
102_8,38.19611180471575
102_9,50.54419330079985
103_10,30.83400871087587
103_11,19.777075892715267
103_12,14.248619961849595
103_13,28.257778070371277
103_14,19.23199906629073
103_15,15.49202850178905
103_16,20.740697537015194
103_17,19.38372897328603
103_18,20.86599706649947
103_19,20.53666701719702
103_20,17.830743490063064
103_21,25.5208561212276
103_22,29.758689282147596
103_23,20.791561307087747
103_8,11.382817516538456
103_9,32.32602365550179
104_10,27.105018829184182
104_11,19.42438771869408
104_12,8.108499334404142
104_13,10.846972896997265
104_14,14.47357297651752
104_15,14.090414806306132
104_16,21.235600354195967
104_17,20.597095116502192
104_18,20.257540887671443
104_19,12.489945246012757
104_9,10.582294987031718
105_12,6.887280202193701
105_13,15.58168096480195
105_14,20.460948405882245
105_16,20.529035055594214
105_17,20.558943251328035
105_18,20.195384265058223
105_19,12.094081982701319
106_18,20.490394754484992
10_18,5.996053126547912
10_19,4.714989759335772
10_20,5.011665418875159
10_21,4.389608164234285
10_22,11.329645520651392
10_23,26.354918716451007
10_24,31.63403242542171
10_25,19.45674103413451
10_26,6.285994338625336
10_27,6.181489622081671
10_28,23.833835057986082
10_29,40.77221977896483
10_30,42.127378051412684
10_31,39.746513940885
10_32,46.95055728629377
10_33,46.13217744266374
10_34,41.67568520455414
10_35,32.35817908940402
10_36,9.240261315109446
10_37,18.23006552300544
10_38,29.731032397413312
10_39,35.49515439473629
10_40,22.82802521920077
10_41,8.155855183808754
10_42,7.677824615809985
10_43,9.727973479971073
10_44,16.123701919286333
10_45,8.434653189428323
10_46,16.510581929285557
10_47,20.093904155114153
10_48,18.73520073807804
10_49,31.19377512214074
10_50,37.949052057545174
10_51,34.73989506369255
10_52,33.990353821589984
10_53,34.156909863131965
10_54,35.33420762019283
10_55,35.92192120924692
10_56,42.46240609008929
10_57,44.16473376186847
10_58,46.635984701305404
10_59,40.98863491842484
10_60,33.6873674592522
10_61,25.309105166872378
10_62,28.534627848168842
10_63,29.779040176713828
10_64,20.83308795409096
11_20,11.376705452658822
11_21,6.372591894894905
11_22,7.110971222206208
11_23,13.257455974793354
11_24,44.71667012671319
11_25,42.981081412044844
11_26,14.853784415391456
11_27,11.553709399877567
11_28,17.519562117489965
11_29,42.58003930740522
11_30,42.87634399788907
11_31,41.764677359122736
11_32,41.95076471013104
11_33,42.81261068463151
11_34,44.59513251115352
11_35,42.071778250219836
11_36,17.004903978337364
11_37,28.928153706126487
11_38,30.12993615856969
11_39,28.10554285447267
11_40,13.99393121350982
11_41,13.112162456054623
11_42,10.616972109535192
11_43,20.399760623438038
11_44,26.449235441329407
11_45,25.47643382059069
11_46,20.781296633415728
11_47,20.32874524114562
11_48,25.612261174163045
11_49,35.73322664022722
11_50,41.38811185964067
11_51,42.17987221616545
11_52,40.78587892212006
11_53,34.44007792036402
11_54,33.66390503980019
11_55,34.89818550802312
11_56,41.10484028143834
11_57,48.06510330197904
11_58,51.182926758088335
11_59,50.66183981471235
11_60,31.64545397615795
11_61,39.20233490624767
11_62,18.25747214362914
11_63,17.633297487390504
11_64,15.246372444976448
12_19,6.506533838768398
12_20,21.026821040084087
12_21,32.0061107966875
12_22,24.68729566708796
12_23,32.979001361026505
12_24,44.005915518212504
12_25,48.97499754315764
12_26,23.416681603611856
12_27,21.04490570436642
12_28,26.734951121763224
12_29,43.356
12_30,42.92297352566348
12_31,44.82418284734467
12_32,48.499474901412846
12_33,46.977022362248555
12_34,39.24558487022461
12_35,35.445510910947974
12_36,29.330427796289644
12_37,8.529970505408532
12_38,11.286770884269131
12_39,24.529723497963438
12_40,35.03464970119373
12_41,35.29113971075337
12_42,28.057669314241586
12_43,20.95141860806108
12_44,30.365185437009252
12_45,20.903179719536226
12_46,14.612975160206418
12_47,28.791631912008686
12_48,39.809612931436284
12_49,39.46195848324394
12_50,40.38530587193307
12_51,41.367869269367205
12_52,45.97260674649017
12_53,37.71955574777257
12_54,38.30591887043362
12_55,40.23923725655907
12_56,48.64819759103992
12_57,47.72198458145583
12_58,51.93541885822726
12_59,54.456392033758945
12_60,41.14764744362474
12_61,44.42302901691632
12_62,41.854436303936524
12_63,12.737188387180622
12_64,13.266660336187423
12_65,17.584942232243332
13_20,9.848650603977603
13_21,24.486972793605133
13_22,29.067548373347265
13_23,30.58478986322061
